,A,Y,C1,C2,C3,C4,C5,C6,X1,X2,X3,X4,X5,X6,D1,D2,D3
0,1,1,1,2,0,2,1.2,1.8,1,2,1,2,1.4,1.5,1,0,1
1,0,1,0,2,1,1,0.4263218448449334,1.143633867658644,1,3,0,2,1.1,3.5170130028211384,0,2,1
2,0,1,0,0,1,1,2.157015792883584,2.6157170023035228,1,3,1,0,1.1,1.6283257771968027,1,0,0
3,0,0,0,3,1,2,1.0,2.0,0,1,0,1,0.3749208391217115,2.820378441514314,1,3,0
4,1,0,1,2,1,3,1.7915691615066032,1.6273323840685765,0,2,1,1,0.4364725359298415,1.2762658395598647,1,2,1
5,0,0,0,2,1,3,1.0,2.0,1,0,0,3,0.3749208391217115,2.126910502373299,1,1,0
6,1,1,1,2,1,2,1.2,2.0029467711356768,0,1,1,0,2.2934481229015473,0.6812371258385488,1,1,1
7,1,1,1,3,0,3,1.2,2.0029467711356768,0,2,0,1,2.2934481229015473,2.3380330173088666,1,1,1
8,0,1,0,3,0,3,0.43712760092988956,2.6157170023035228,0,3,0,1,1.4497520062146063,3.570224972528057,0,3,0
9,1,1,1,2,0,0,1.4184830519152305,2.14806168361943,1,2,0,1,2.2934481229015473,2.3380330173088666,0,2,0
10,1,1,1,2,0,2,1.4184830519152305,2.14806168361943,1,3,0,1,2.2934481229015473,2.3380330173088666,0,3,1
11,0,0,0,2,1,3,1.0,2.0,1,2,0,3,1.3178876927304999,1.4255647851825148,0,0,0
12,1,0,1,2,0,1,1.7915691615066032,1.2811675595539045,0,2,1,1,1.8204585878229245,1.5704075579189007,1,1,0
13,0,1,0,1,0,0,0.6972490190585177,2.6157170023035228,0,0,1,3,2.9566218205097625,0.9470611154281219,1,1,0
14,0,0,0,0,0,1,1.0,2.0,0,1,1,2,1.3178876927304999,2.13567883423446,1,1,0
15,1,0,1,1,1,3,1.0808545787921893,1.2811675595539045,0,1,1,3,2.2645476661960084,1.2044023540040487,1,1,1
16,1,1,1,3,1,1,0.8574964611589913,1.5415293432104273,0,2,1,1,0.9447359383515637,2.3380330173088666,0,0,0
17,0,1,0,1,1,0,0.6972490190585177,2.6157170023035228,0,3,0,2,-2.106141240988122,2.6338667597116836,0,3,0
18,1,1,1,0,0,2,0.8574964611589913,1.5415293432104273,0,2,1,1,2.37496006214027,2.3380330173088666,0,0,1
19,1,0,1,0,0,0,1.0808545787921893,1.2811675595539045,1,1,0,1,0.9554100209456768,1.4945862494395494,0,1,0
20,1,1,1,3,1,3,1.7644401068634568,2.111978804769964,0,1,0,3,2.37496006214027,2.3380330173088666,0,0,1
21,0,0,1,1,0,1,1.0,2.0,1,3,1,0,0.4732581795341624,3.6372687506581993,1,2,1
22,1,1,0,3,1,0,1.7644401068634568,2.111978804769964,0,2,0,3,0.8146010081453974,2.3380330173088666,0,1,0
23,1,1,1,3,1,1,2.1380120841177876,2.111978804769964,0,3,1,1,0.8146010081453974,2.3380330173088666,1,3,0
24,0,1,0,1,0,1,1.8546377635873963,1.4933640901774767,0,3,0,1,1.6634372881402761,2.1872282459277494,0,1,1
25,0,0,1,1,1,3,1.0,2.0,1,1,0,1,0.4732581795341624,1.929584858802226,1,1,1
26,1,1,1,0,0,2,2.1380120841177876,2.5419448957489554,0,3,0,3,0.0599978205486722,1.6509088953874338,1,1,0
27,0,0,0,0,0,3,1.0,2.0,1,1,0,1,2.0987532219400773,1.929584858802226,1,0,1
28,0,0,0,1,1,1,1.0,1.1619053999541804,1,0,1,3,2.0987532219400773,1.929584858802226,0,3,0
29,1,0,1,3,0,1,1.0808545787921893,1.2811675595539045,1,1,0,3,0.8903435808659891,0.6301935674870742,1,2,1
30,0,0,1,0,0,3,1.0,1.1619053999541804,1,2,1,0,2.0987532219400773,1.929584858802226,1,2,0
31,0,1,1,0,1,2,-0.7006161304461878,2.4363850715008755,1,3,0,1,1.4017711496821879,1.9455936298443577,0,2,0
32,1,0,1,2,1,2,1.0808545787921893,1.2811675595539045,1,2,0,1,0.8903435808659891,1.5674482097686506,1,0,1
33,1,1,1,2,0,0,2.1380120841177876,2.5215599595232168,0,0,0,3,3.9936881726975066,1.535007514148107,0,0,0
34,0,1,0,2,0,0,2.9055545358141837,2.4363850715008755,1,3,0,2,1.4017711496821879,0.9607632878284738,0,0,0
35,1,1,1,3,1,2,0.42458662435044525,3.0168600845058187,0,3,1,1,3.9936881726975066,1.535007514148107,0,1,0
36,1,0,1,1,0,3,1.2164259974553686,1.2811675595539045,1,2,1,2,2.4634853116695146,2.9178882421052434,0,1,1
37,0,0,0,2,0,2,1.0,1.1619053999541804,0,2,0,1,2.0987532219400773,2.1492632023998826,1,3,1
38,0,1,0,0,1,3,0.3226929465546712,2.4363850715008755,1,1,0,0,0.8692261879822025,3.924819105754001,0,2,0
39,0,0,0,0,1,2,1.0,1.1619053999541804,1,0,0,3,2.0987532219400773,2.1492632023998826,0,1,1
40,1,0,1,1,0,2,0.9499836018529539,1.2811675595539045,1,2,0,1,1.26777362708479,2.4720569390664098,0,0,0
41,1,0,1,0,1,2,0.9499836018529539,1.2811675595539045,0,3,1,1,2.246311836584945,2.4720569390664098,1,2,0
42,1,0,0,2,0,1,0.9499836018529539,1.2811675595539045,0,2,1,1,2.246311836584945,-0.5265527669379342,1,3,1
43,0,1,0,1,1,1,0.3172923336243476,1.9687157329732794,0,3,0,1,1.4901543804255803,1.024800961488315,1,2,0
44,0,0,0,3,0,0,1.0,1.1619053999541804,1,1,0,1,2.0987532219400773,0.2538376912456961,1,3,1
45,1,1,1,2,1,1,1.3398672617358778,2.2151086349531734,0,2,0,1,-0.06733925848063027,1.679325784113534,0,3,1
46,0,1,0,2,1,2,2.0125996892611937,1.9687157329732794,0,3,0,0,-0.24190429715686257,0.738139912316466,0,2,0
