,A,Y,C1,C2,C3,C4,C5,C6,X1,X2,X3,X4,X5,X6,D1,D2,D3
0,1,1,1,1,0,1,1.2,1.8,0,2,0,1,1.4,1.5,1,0,0
1,0,0,0,2,0,1,1.0,2.0,1,3,1,3,1.0397345839736505,2.479431750609627,1,2,1
2,1,1,1,3,1,2,1.5672458153220934,3.47475333246402,1,0,1,1,1.4,1.5,1,2,0
3,0,1,0,2,1,3,1.100252533844071,2.0,0,0,0,3,1.1,1.9,1,0,0
4,1,0,0,1,1,2,-0.20841494950202755,1.8,0,0,0,3,1.3895873055109498,1.5,0,0,0
5,1,1,1,3,0,2,1.7987074419581184,3.0826035260259768,0,2,1,3,0.9735239151991557,1.5,1,1,0
6,1,1,1,2,0,2,1.7987074419581184,-0.15228578660393888,0,3,1,1,0.9735239151991557,1.5,1,1,0
7,1,0,0,2,1,0,1.688726525018583,1.8,1,2,0,3,1.3895873055109498,1.5,1,3,1
8,0,1,0,3,1,0,-0.7200554456262389,1.6664445622334951,0,0,1,1,1.1,1.9,0,3,0
9,1,0,1,2,0,1,0.45375506526132114,1.8,0,2,1,1,1.3895873055109498,1.5,0,1,1
10,1,0,1,1,0,3,0.5731339129261797,1.8,0,2,1,1,1.3895873055109498,1.5,1,0,0
11,0,1,0,0,1,0,2.8742210445151826,1.6664445622334951,0,3,0,1,1.1,1.9,1,1,1
12,1,1,1,3,0,0,1.8847866835784222,1.2945748166473146,1,1,0,1,1.0640412489771027,1.0424344022172995,0,1,0
13,1,1,1,3,0,2,1.8847866835784222,0.6984462152121493,0,1,0,1,1.0640412489771027,2.5382759835148567,1,1,1
14,0,0,0,3,0,3,2.7312614860848687,1.8416189920376929,0,3,0,2,-0.8030679954823654,2.2644121469670253,1,2,0
15,1,1,1,2,1,1,1.58215122248319,3.390565796278766,0,1,0,2,1.0640412489771027,2.5382759835148567,0,0,1
16,1,0,1,0,1,3,-1.4223555342529506,1.8,1,3,1,0,1.9020021009446373,0.09650145127453769,0,3,0
17,1,0,1,2,0,1,-1.4223555342529506,1.8,1,2,1,1,1.7783555664290762,0.09650145127453769,1,1,1
18,0,0,0,1,1,3,-0.31015849030915366,1.9520559276062421,0,1,0,2,1.561369594684166,0.47380561476798966,0,0,0
19,0,0,1,0,1,2,2.364331692815723,2.0167503461272065,0,3,0,1,1.7986886080562465,0.47380561476798966,1,3,0
20,1,1,0,0,1,2,1.58215122248319,2.0776479088300115,0,1,1,1,0.16715569642061334,0.8289317985595828,0,3,1
21,1,0,0,2,0,1,0.5695434551765164,1.8,0,2,0,1,1.171442345622608,3.1276969921396365,0,3,0
22,1,1,1,1,0,2,-0.5814599444645441,2.0776479088300115,0,1,1,3,2.804835192286617,1.9914276245052829,1,3,1
23,0,1,0,1,1,2,1.8219515514786926,1.6664445622334951,0,2,0,1,0.38632177258968925,1.9,0,1,0
24,0,0,0,2,1,3,0.6476603421579772,2.3536228597179814,1,2,1,3,-0.1981398908617602,2.2239234503436824,1,1,1
25,1,1,0,1,0,0,-0.11425073413129594,2.024667476313679,0,1,1,1,-0.1780174311107392,1.4387078889073583,1,2,0
26,0,1,0,0,0,2,1.5649782134550592,1.6664445622334951,1,1,0,1,0.38632177258968925,1.9,1,2,0
27,0,0,1,1,1,2,0.30150489286270266,3.0717216199782604,1,3,1,3,1.2745036674381653,1.4539292749363728,1,3,1
28,0,0,0,1,1,2,2.4231362343314844,3.0717216199782604,0,2,1,0,1.2745036674381653,2.6606709398587904,0,2,1
29,0,0,0,3,1,2,2.4231362343314844,3.0717216199782604,0,0,1,0,0.6397813159508443,1.7224061598796152,0,0,0
30,1,0,1,3,1,0,0.6912096681715818,1.8,1,3,1,1,1.3373272797057416,2.357430831571032,0,3,0
31,1,1,1,3,1,1,1.064525413297221,3.1040838203168226,0,1,1,2,-0.09968796217148546,1.1549529469737414,1,1,1
32,0,0,0,0,1,1,0.6580877102433176,3.0717216199782604,1,3,0,1,2.333490167844428,2.0992914708083914,0,3,0
33,1,1,1,0,0,1,1.064525413297221,3.1040838203168226,1,1,0,1,3.466837582167567,1.2695052534501636,0,3,1
34,0,0,0,1,0,1,0.8913389042818056,3.0717216199782604,1,2,0,2,1.3289923683346963,0.9031109479612176,1,3,1
35,0,0,0,0,1,0,2.176759096917504,3.0717216199782604,0,3,0,1,0.5492457268109354,0.9031109479612176,1,1,1
36,1,0,1,0,0,2,0.38139339159813046,1.8,0,2,1,1,1.3373272797057416,1.4203673075626377,0,1,1
37,0,1,0,0,1,3,1.7706568191401073,1.6664445622334951,1,2,0,2,0.5951020913828455,1.9,1,2,0
38,1,0,0,3,0,3,2.1336155605008047,1.8,1,3,1,1,1.3373272797057416,1.4203673075626377,0,2,0
39,1,0,0,3,0,0,0.09589922248408467,1.8,1,2,0,1,1.3373272797057416,1.0304652092703122,0,2,0
40,0,0,0,2,0,2,2.1067929659551297,3.0717216199782604,1,1,1,0,0.5052164891022359,2.2135053508889513,1,1,0
41,1,0,1,3,1,0,2.09273931328166,1.8,0,1,1,1,0.8720486811757391,0.7193290158602839,1,2,0
42,0,0,0,1,1,1,2.1067929659551297,3.0717216199782604,1,2,0,1,0.5052164891022359,2.2405439175007498,1,3,0
43,1,0,0,3,0,2,2.3316104203322565,1.8,1,1,0,1,0.8720486811757391,0.7193290158602839,1,3,0
44,1,0,1,1,1,3,1.759091384099419,1.673195335688204,0,3,0,1,0.6866924175783973,0.7193290158602839,1,2,0
45,0,0,0,1,1,3,0.8834517217548129,3.0717216199782604,1,2,0,1,0.5366931771068266,0.6062255752424228,0,2,1
46,0,0,0,1,1,0,0.8834517217548129,3.0717216199782604,1,1,1,1,0.4490112799270827,3.0414795594849178,1,0,1
47,0,1,0,3,0,2,2.4951449596308444,1.6664445622334951,0,3,0,0,0.5951020913828455,1.9,1,3,1
48,0,1,0,2,0,3,2.4951449596308444,1.6664445622334951,1,3,0,2,0.5951020913828455,1.9,0,2,1
49,1,1,0,0,1,1,-1.0677126193657567,0.6218628818928162,0,1,1,3,0.41716164713250103,2.640709418771861,0,3,1
50,0,0,0,3,0,1,0.8834517217548129,3.0717216199782604,0,0,0,2,0.8663133520236319,2.4544184980279353,1,2,0
51,0,0,0,0,0,1,0.6332957760775987,3.0717216199782604,1,3,0,2,1.5206042979853265,2.4303275793842825,1,2,1
52,1,1,1,2,1,2,-1.2190914795544,-0.06464091411620831,1,1,0,1,2.3887178060823486,2.640709418771861,1,0,0
53,1,1,1,3,0,0,-1.2190914795544,-0.06464091411620831,0,3,1,3,1.3384594901281135,2.640709418771861,1,3,0
54,1,1,1,0,0,0,3.9974687184792956,-0.06464091411620831,0,1,1,1,1.0141601662691713,1.5443353040917518,0,0,0
55,1,0,1,3,0,2,2.650042533557108,1.673195335688204,1,1,1,1,1.6773665404683058,2.2069246536131124,0,1,1
56,0,0,1,2,1,0,-0.1885957344063719,3.0717216199782604,1,0,1,1,2.9726764039687814,2.2258546522828904,1,1,1
57,0,0,0,1,0,3,-0.45393837476607535,3.0717216199782604,1,3,0,3,-0.354978301458448,1.2877469108577606,1,2,0
58,0,0,0,3,0,3,2.979353034509335,3.0717216199782604,1,1,0,2,2.146657576571007,3.126310603385991,1,3,0
59,0,1,0,2,0,0,-0.09532240155893179,1.6664445622334951,1,3,0,0,0.8614188240212353,1.9,1,0,0
60,0,0,0,3,1,1,2.124177470703857,0.7573862111574221,1,3,0,3,1.192706343514651,3.032081142209111,1,3,0
61,0,0,0,0,0,2,2.124177470703857,0.7573862111574221,0,2,0,2,0.724120205272927,3.032081142209111,1,0,1
62,0,0,0,0,1,3,2.124177470703857,0.7573862111574221,1,3,0,1,0.724120205272927,1.935167561670034,0,3,1
63,0,0,0,2,0,3,0.08034806964465346,0.7573862111574221,0,2,0,0,0.724120205272927,2.5148765973387084,1,3,0
64,1,0,1,1,1,2,1.147800639765231,1.839276382863074,1,0,1,1,1.481731727606109,0.9593169707562879,1,3,0
65,1,1,1,3,1,1,0.23479839619408516,3.462144758764402,0,3,1,1,1.3239046254331286,2.858697467293439,0,2,0
66,1,1,1,2,1,1,0.23479839619408516,3.462144758764402,0,1,0,1,1.3239046254331286,2.858697467293439,1,1,0
67,1,1,0,1,1,2,0.23479839619408516,3.462144758764402,1,3,1,1,1.6686769853272145,2.858697467293439,1,1,1
68,1,0,1,2,1,2,-0.4252924862918952,1.839276382863074,0,1,0,1,1.481731727606109,1.44758257527202,0,0,0
69,1,1,1,3,0,0,0.5988764398244102,2.237564701988784,0,2,0,1,1.2483306219645391,0.7568863194257482,1,3,0
70,1,0,0,0,1,1,-0.4252924862918952,1.839276382863074,0,0,1,1,1.481731727606109,1.44758257527202,1,0,0
71,1,0,1,1,0,2,3.3462394780865248,1.839276382863074,1,2,1,1,1.481731727606109,1.6338405845906874,1,3,0
