,A,C1,Y,C2,C3,C4,X1,X2,X3,X4,C5,C6,X5,X6
0,0,0,0,2,0,0,0,2,1,3,1.0,2.0,1.1,1.9
1,1,1,1,3,1,1,1,2,0,1,1.2,1.8,1.7193167551961521,1.5
2,1,1,1,0,1,2,0,2,1,0,1.2,1.8,2.532262071731247,1.5
3,1,1,0,1,0,2,0,1,0,1,1.2,0.13980828004145707,1.4,1.5
4,0,0,0,2,1,1,1,2,0,1,-0.10425467483848383,1.022106182306268,1.1,1.4129657089914682
5,0,0,1,3,0,0,1,0,1,0,1.0,2.0,1.1583400813543583,2.038363428255547
6,1,1,0,3,0,3,0,0,0,2,1.2,3.0721250835860245,1.1226079085141216,1.5
7,0,0,1,3,0,3,1,3,1,1,1.0,2.0,1.959502270488515,2.038363428255547
8,0,0,1,1,1,0,0,1,1,3,1.0,2.0,1.4780030006798741,2.038363428255547
9,1,1,1,0,1,1,1,0,0,0,1.2,1.8,2.357989255661132,1.5
10,1,1,1,3,1,0,0,1,1,3,1.2,1.8,2.357989255661132,1.5
11,0,0,1,0,1,0,1,2,1,1,1.0,1.6840235918527835,0.02930450942945817,2.038363428255547
12,0,0,0,2,1,1,0,1,0,2,1.1242378859957312,2.9039612674288717,-0.2744653072785366,3.28504945638708
13,1,0,0,0,1,0,1,2,1,1,0.9755107247378279,2.3465258609480353,1.9281598218588265,1.5068788705080365
14,1,1,1,3,1,0,0,2,0,1,1.2,1.8,0.354091684954844,1.5
15,0,1,0,3,0,3,1,1,0,1,2.258257122399284,3.178897868718786,-0.2744653072785366,3.28504945638708
16,0,0,0,1,0,2,0,0,1,1,0.6221749706893602,3.178897868718786,0.3845403875065918,3.28504945638708
17,0,1,1,2,1,3,1,3,1,2,1.0,1.6840235918527835,-0.0496417535669369,2.038363428255547
18,0,0,0,0,0,1,1,3,1,2,2.1984000029077277,1.579454559276959,1.5747183428503135,3.28504945638708
19,1,1,0,1,0,1,1,3,0,2,1.5260957717655208,2.421165422076858,1.0956765976899094,1.5068788705080365
20,1,1,1,3,1,2,1,2,1,1,1.2,1.8,2.9932793700186435,1.4877335016229747
21,1,0,0,2,0,1,1,0,0,2,1.5260957717655208,2.421165422076858,1.0956765976899094,1.6690061534691492
22,1,1,1,0,1,0,0,3,0,2,1.2,1.8,2.9932793700186435,1.4877335016229747
23,0,0,1,1,0,0,0,2,1,0,1.0,2.332420249447367,-0.11902797168645773,2.4252776328662122
24,1,0,1,2,0,0,1,2,0,2,1.2,1.8,2.8813593839932463,1.4877335016229747
25,0,0,1,2,0,1,1,1,1,2,1.0,2.332420249447367,2.4138153944133247,2.4252776328662122
26,1,1,1,1,0,0,0,2,1,3,1.2,1.8,-0.029671844978473416,1.4877335016229747
27,1,1,0,1,1,2,0,2,1,3,3.360657583986451,2.42770692713991,1.0956765976899094,1.6690061534691492
28,0,1,0,0,0,3,0,0,1,0,-1.0584120885735677,1.6627718286858433,0.7419004240257104,3.28504945638708
29,0,0,1,1,1,3,0,0,0,3,1.0,2.332420249447367,2.5315087777450973,2.4252776328662122
30,0,1,1,0,1,1,0,0,0,1,1.0,2.332420249447367,2.5315087777450973,2.4252776328662122
31,1,1,0,2,1,2,1,2,1,2,1.5289462579239,1.4641381921770122,1.383283311955345,1.6690061534691492
32,1,1,1,1,1,2,0,3,1,0,1.2,1.8,1.6562790296577505,1.4877335016229747
33,0,0,1,1,1,0,1,1,0,1,1.266236586128391,2.332420249447367,-0.5187387209269811,1.438870091270534
34,0,1,0,2,1,3,0,1,1,1,0.7071185547794512,3.1645365955619513,-0.4998787048193487,3.28504945638708
35,1,1,0,2,0,2,1,2,0,1,0.9387734528044636,3.3982404685933503,1.383283311955345,1.6690061534691492
36,0,0,1,1,0,0,1,1,1,0,1.266236586128391,1.3180193991336064,1.0530747926673258,1.8394982063081744
37,1,1,1,3,0,3,1,3,0,0,1.2,1.8,1.6562790296577505,1.4877335016229747
38,1,1,1,3,1,0,0,2,1,0,1.2,1.8,1.6562790296577505,1.4877335016229747
